ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23489.0,8000.0,,,2000,1548,3380,4453,4128,4624,,,,,,,,,,,,,,,,,,,,
AUS,australiaAustralia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.78205,196.09765,554.7633,0.0,199.1458,1147.12045,680.7535,160.5359,1174.5538,751.877,7890.6443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3492.16385,3788.85045,4956.2919,5735.60225,5376.9366,3522.64535,5165.5982,7351.12175,4117.0346,5575.06635,7684.38615,10494.78045,7830.69735,7019.88945,15225.50925,70549.43175,16232.4148,30021.22935,359889.9903,796481.595,1186412.12,1827123.089,4243506.408,4955094.993,7924374.112,9256027.531,12733038.01,14437043.27,17596053.47,19994060.51,0.0,0.0,0.0,0.0,0.0,27179056.05,25441468.31,23625113.32,24372364.24,32181999.89,31838993.6,32383870.74,34101823.32,36192109.45,38584116.72,41391000.0,40503000.0,39746000.0,41320000.0,42159000,42655000,43063000,44465000,44653000,48493000,53802000,53799000,54135000,55602000,56593000,59959000.0,61781000.0,62428000.0,64038000.0,65843000,68584000.0,70231216.0,76281245.0,81119334.0,78632393.0,80909261.0,83517148.0,89420589.0,95947593.0,105543787.0
AUT,austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2733.1745,3048.15,4064.2,5080.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3048.15,3048.15,3048.15,5080.25,0.0,0.0,0.0,0.0,0.0,19843.4565,8756.3189,0.0,0.0,5324.102,6555.5546,3007.508,9019.47585,15179.787,18219.8086,17265.73765,19138.3178,22092.9912,22324.6506,23570.3279,23980.8121,26005.79975,18013.55045,16960.92265,17829.6454,3707.56645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,frenchwestafrica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,frenchwestafrica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99382.89865,325541.404,492151.2509,493179.4935,451532.62,365879.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,bosniaandherzegovinayugoslaviaBosnia&Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4280.61865,5139.1809,7532.9947,23144.60295,22725.99035,20876.77935,24283.595,0.0,0.0,0.0,,,,,"200,000","75,000","75,000","75,000","75,000","75,000",254700,90000,71300,573000,480000,1031600.0,854047.0,866933.0,1018333.0,555820,,,,,,787409.0,738609.0,740384.0,760244.0,1043343.0
BRA,brazilBrazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6999.56845,8769.52755,12928.2202,18278.7395,82.30005,14364.9149,12396.82605,76761.56145,2979.0586,19546.7699,4458.4274,6735.39545,14043.8431,16213.10985,18519.54335,0.0,14319.19265,18821.3102,27618.2711,45070.96195,69754.88065,65027.2,69853.4375,96998.2293,120763.6388,111394.6418,190708.5208,169636.6599,131650.6146,155968.7553,249932.0432,302854.0235,305831.05,320055.75,510001.2173,566001.8291,765002.3339,849002.2356,1000002.506,0.0,0.0,0.0,0.0,0.0,4631869.167,4048556.894,3469938.772,4281253.681,0.0,5304712.718,5418275.61,6376668.837,7727623.142,7893823.52,9748948.0,10364200.0,9365600.0,9669000.0,8673300,11616402,12587234,13000000,14000000,14000000,13974480,13388100,13147900,18456800,20948800,22364600.0,23236300.0,25460700.0,28097500.0,26074400,32028000.0,33624600.0,34987800.0,33848700.0,35409900.0,37057000.0,39244200.0,39244200.0,38122500.0,31937900.0
CHN,chinaChina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500001.2532,500001.2532,550002.0897,600001.9102,600001.9102,0.0,0.0,0.0,0.0,0.0,1700005.074,1800005.731,1950006.208,1900005.372,2000006.029,2800008.237,2900008.894,3200009.849,3500010.804,3650011.282,3655200.0,5926000.0,6660900.0,6468200.0,6500000,8255500,8878800,"9,000,000","9,000,000","9,000,000",7900000,8650000,10000000,11000000,12000000,17408200.0,18981600.0,20446000.0,25176900.0,30000000,36837200.0,37173800.0,44052300.0,50339400.0,65000000.0,60787599.0,66157689.0,69000000.0,70751214.0,62000000.0
COL,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.0,693.0,2400.0,13666.0,533.0
DEU,germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.23985,3083.71175,1766.91095,0.0,2399.9101,5080.25,7255.61305,1390.97245,0.0,1637.8726,5080.25,6559.6188,8547.0126,12425.27545,18288.9,19406.555,15748.775,10160.5,12903.835,16256.8,25401.25,25401.25,0.0,0.0,0.0,0.0,2438.52,4165.805,0.0,5944.90855,5245.86615,4165.805,3860.99,4877.04,4673.83,3759.385,4470.62,3812.2196,4231.84825,4656.55715,4331.42115,4155.6445,3893.5036,3666.92445,2284.0804,3251.36,3206.6538,3000.39565,3000.39565,1999.5864,1999.5864,999.7932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
