ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,586.0,500.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,australiaAustralia(b),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4419.8175,4008.31725,1828.89,548.667,0.0,15.24075,406.42,71.1235,0.0,60.963,127.00625,162.568,0.0,0.0,0.0,308.8792,311.92735,287.54215,320.05575,260.1088,234.70755,213.3705,186.9532,206.25815,164.6001,201.1779,183.90505,211.3384,167.64825,217.4347,214.38655,231.6594,235.7236,246.90015,254.0125,15.24075,14.2247,14.2247,17.27285,15.24075,17.27285,18.2889,17.27285,17.27285,17.27285,13.20865,0.0,469,796,770,776,1078,2709.0,3250.0,3324.0,3393,3400,,,,,,,,,,,1870.0,1670.0,1270.0,1270.0,1100.0,2100.0,1609,1996.0,2138.0,1802.0,1704.0,2696.0,2763.0,2562.0,2396.0,5198.0,5736.0,5325.0,5770.0,5331.0,4838.0,4275.0,5411.0,6855.0,6252.0,6777.0,6020.0,5221.0,5616.0,5693.0
BRA,brazilBrazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,1000,1500.0,2500.0,2900.0,4100.0,4400.0,4300.0,4200.0,4300.0,1400.0,1100.0,1311.0,1215.0,1200.0,3139.0,3623.0,2900.0,3500.0,3500.0,2771.0,852.0,185.0,8.0,
BWA,botswanaBotswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,81.0,150.0,165.0,261,270,,,,,,,,,,,205.0,208.0,208.0,205.0,225.0,271.0,406,334.0,335.0,332.0,308.0,325.0,269.0,294.0,223.0,326.0,303.0,242.0,337.0,342.0,272.0,149.0,195.0,248.0,196.0,316.0,248.0,,,
CAN,CanadaNewCaledoniaCanada,393.21135,841.2894,368.82615,688.8819000000001,585.2448,659.41645,152.4075,269.25325,0.0,0.0,9335.4674,8606.95955,10129.00245,6031.2728,9560.014449999999,8732.94975,8431.1829,6297.4779,4726.6646,4451.31505,4233.88035,5395.2255,6181.6482,8052.19625,4599.65835,4165.805,6645.98305,7205.8266,2388.73355,761.02145,1596.21455,329.2002,989.6327,670.593,5195.06365,14014.37765,5615.70835,5296.66865,8592.73485,12899.7708,14537.6434,20438.8618,30106.57755,31902.95395,33894.41195,1359.4749,1611.4553,1618.56765,1443.80705,1578.9417,1277.17485,1444.8231,1655.14545,1592.15035,1634.82445,1827.87395,1452.9515,2069,1961,1520,15171700,15641900,4774.0,5501.0,5565.0,12344170,13814200,692.0,914.0,784.0,1153.0,1628.0,,,,,,8021.0,8264.0,8117.0,8126.0,5333.0,7940.0,57142356,8673.0,8897.0,7707.0,7918.0,8866.0,7928.0,6929.0,7918.0,7536.0,8744.0,10312.0,9822.0,4791.0,6371.0,9240.0,9307.0,10248.0,9574.0,7489.0,7148.0,6058.0,5608.0,5132.0
CHL,chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.93005,0.0,20.321,7.11235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78645,2.0321,57.91485,101.605,28.4494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6382.0,6843.0,7498.0,8580.0,8500.0,,,,,
CHN,chinaChina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,192,466.0,409.0,303.0,411.0,679.0,1000.0,1000.0,1000.0,2104.0,1840.0,2000.0,2000.0,2000.0,,,,,,10093.0,9293.0,10237.0,2241.0,2000.0
COD,belgiancongocongodemocraticrepubliczaireCongoDemocraticRepublic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13879.243,7193.634,7213.955,8128.4,14159.6728,1422.47,7396.844,6695.7695,12355.168,0.0,0.0,13696.354,30481.5,30640.0038,18780.6682,48319.2738,45923.4279,33098.8448,41219.1164,37541.0154,56085.96,43080.52,70107.45,85957.83,88061.0535,102960.4107,114299.5287,136620.1151,165560.2673,172180.8491,171340.5757,181780.4895,162300.7789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13958,14518,13112,15100,17545,31300.0,34300.0,32600.0,33000,35000,14482.0,1124.0,5573.0,5370.0,9076.0,,,,,,9981.0,8620.0,6625.0,2200.0,3274.0,3967.0,4041,3153.0,3871.0,3200.0,7000.0,8000.0,8000.0,8500.0,16000.0,24500.0,27100.0,25400.0,32300.0,35500.0,97693.0,99475.0,86433.0,76593.0,76475.0,83529.0,68822.0,82461.0,109402.0,77964.0
COG,congorepublic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.6879,8431.1829,8221.8766,8326.52975,9682.9565,7376.523,7676.25775,8388.5088,11297.45995,9718.51825,10100.55305,10576.06445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,CubaCuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0745,802.6795,915.46105,1043.48335,1088.18955,1542.3639,"1,500","1,500","1,500","1,600","1,600",1500.0,1500.0,1500.0,1400,1300,,,,,,,,,,,1743.0,1331.0,1360.0,1258.0,1141.0,1854.0,2300,2500.0,2700.0,2600.0,2900.0,3417.0,3384.0,3465.0,3580.0,4798.0,5602.0,4549.0,3175.0,3500.0,3706.0,3853.0,3792.0,3319.0,3210.0,4729.0,5514.0,5407.0,5300.0,5200.0
