ISO3,Country,1493-1600,1601-1700,1701-1800,1801-1900
AFG,asia,708.8176921,2126.453076,28.35270768,1118.673745
AGO,otherafrica,0.0,0.0,0.0,5.503147151
ALB,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
AND,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
ARE,asia,708.8176921,2126.453076,28.35270768,1118.673745
ARG,southamericaargentina,12867.0258,22698.32719,16956.0533,28539.6419855
ARM,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
AUS,australasiaaustralia,0.0,0.0,0.0,8891.891721
AUT,europeaustria-hungaryeurope,8547.552196999999,3967.1803228999997,7492.7348739,21656.041477
AZE,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
BDI,otherafrica,0.0,0.0,0.0,5.503147151
BEL,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
BEN,otherafrica,0.0,0.0,0.0,5.503147151
BFA,otherafrica,0.0,0.0,0.0,5.503147151
BGD,asia,708.8176921,2126.453076,28.35270768,1118.673745
BGR,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
BHR,asia,708.8176921,2126.453076,28.35270768,1118.673745
BIH,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
BLZ,centralamerica,0.0,0.0,0.0,559.4807202
BOL,southamericabolivia,22942.444,35651.54522,23010.774026,40225.74862
BRA,southamericabrazil,12867.0258,22699.744825384,17032.60561075,28292.48573369
BRN,asia,708.8176921,2126.453076,28.35270768,1118.673745
BTN,asia,708.8176921,2126.453076,28.35270768,1118.673745
BWA,otherafrica,0.0,0.0,0.0,5.503147151
CAF,otherafrica,0.0,0.0,0.0,5.503147151
CAN,canada,0.0,0.0,0.0,855.8116246
CHE,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
CHL,southamericachile,12867.0258,22698.894244154,17139.4953187,34938.598974
CHN,asiachina,708.8176921,2126.453076,28.35270768,1118.673745
CIV,otherafrica,0.0,0.0,0.0,5.503147151
CMR,otherafrica,0.0,0.0,0.0,5.503147151
COD,belgiancongootherafrica,0.0,0.0,0.0,5.503147151
COG,otherafrica,0.0,0.0,0.0,5.503147151
COL,southamericacolombia,12983.2719015,23015.8775161,17384.179186,29566.090639000002
COM,otherafrica,0.0,0.0,0.0,5.503147151
CPV,otherafrica,0.0,0.0,0.0,5.503147151
CRI,centralamerica,0.0,0.0,0.0,559.4807202
CYP,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
CZE,czechoslovakia,0.0,0.0,0.0,0.0
DEU,europegermanyeurope,7485.17624,3863.4094127999997,7622.3067479,24637.324777
DJI,otherafrica,0.0,0.0,0.0,5.503147151
