ISO3,Country/Territory,1493-1600,1601-1700,1701-1800,1801-1900
AFG,asia,0.0,0.0,2421.018314,0.0
AGO,africa,231145.5463,182291.4328,154947.7235,732430.5721
ARE,asia,0.0,0.0,2421.018314,0.0
ARG,argentina,0.0,0.0,0.0,3448.545671
ARM,asia,0.0,0.0,2421.018314,0.0
AUS,australia,0.0,0.0,0.0,2590798.577
AUT,austriahungary,,,,
AZE,asia,0.0,0.0,2421.018314,0.0
BDI,africa,231145.5463,182291.4328,154947.7235,732430.5721
BEN,africa,231145.5463,182291.4328,154947.7235,732430.5721
BFA,africa,231145.5463,182291.4328,154947.7235,732430.5721
BGD,britishindiaasia,0.0,0.0,2421.018314,85742.70001
BHR,asia,0.0,0.0,2421.018314,0.0
BIH,yugoslavia,0.0,0.0,0.0,0.0
BLZ,centralamerica,0.0,0.0,0.0,6.224553445
BOL,bolivia,51041.61706,94791.54618,65624.90786,62676.39054
BRA,brazil,0.0,13671.85462,765624.0574,203873.7314
BRN,asia,0.0,0.0,2421.018314,0.0
BTN,asia,0.0,0.0,2421.018314,0.0
BWA,africa,231145.5463,182291.4328,154947.7235,732430.5721
CAF,africa,231145.5463,182291.4328,154947.7235,732430.5721
CAN,canada,0.0,0.0,0.0,197555.7635
CHL,chile,43749.95748,31901.00357,78385.3263,110655.6954
CHN,chinaasia,0.0,0.0,2421.018314,161122.9517
CIV,africa,231145.5463,182291.4328,154947.7235,732430.5721
CMR,africa,231145.5463,182291.4328,154947.7235,732430.5721
COD,africa,231145.5463,182291.4328,154947.7235,732430.5721
COG,africa,231145.5463,182291.4328,154947.7235,732430.5721
COL,colombia,116666.5249,319010.0357,428384.9011,349196.1218
COM,africa,231145.5463,182291.4328,154947.7235,732430.5721
CPV,africa,231145.5463,182291.4328,154947.7235,732430.5721
CRI,centralamerica,0.0,0.0,0.0,6.224553445
CYP,asia,0.0,0.0,2421.018314,0.0
CZE,czechoslovakia,0.0,0.0,0.0,0.0
DEU,germany,0.0,0.0,0.0,30367.46612
DJI,africa,231145.5463,182291.4328,154947.7235,732430.5721
DZA,africa,231145.5463,182291.4328,154947.7235,732430.5721
ECU,ecuador,0.0,0.0,0.0,1122.696604
EGY,africa,231145.5463,182291.4328,154947.7235,732430.5721
ERI,africa,231145.5463,182291.4328,154947.7235,732430.5721
ESH,africa,231145.5463,182291.4328,154947.7235,732430.5721
ESP,spain,0.0,0.0,0.0,17.29319045
ETH,africa,231145.5463,182291.4328,154947.7235,732430.5721
FJI,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
FRA,frenchguianafrance,0.0,0.0,0.0,52744.599426
FSM,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
GAB,africa,231145.5463,182291.4328,154947.7235,732430.5721
GBR,greatbritain,0.0,0.0,0.0,1855.559335
GEO,asia,0.0,0.0,2421.018314,0.0
GHA,africa,231145.5463,182291.4328,154947.7235,732430.5721
GIN,africa,231145.5463,182291.4328,154947.7235,732430.5721
GMB,africa,231145.5463,182291.4328,154947.7235,732430.5721
GNB,africa,231145.5463,182291.4328,154947.7235,732430.5721
GNQ,africa,231145.5463,182291.4328,154947.7235,732430.5721
GRC,greece,0.0,0.0,0.0,0.0
GTM,centralamerica,0.0,0.0,0.0,6.224553445
GUY,britishguiana,0.0,0.0,0.0,33056.67064
HND,centralamerica,0.0,0.0,0.0,6.224553445
HRV,yugoslavia,0.0,0.0,0.0,0.0
HUN,austriahungary,134895.6739,91145.71639,96249.87243,147892.5554
IDN,britisheastindiesdutcheastindiesasia,0.0,0.0,2421.018314,6571.185576
IND,britishindiaasia,0.0,0.0,2421.018314,85742.70001
IRN,asia,0.0,0.0,2421.018314,0.0
IRQ,asia,0.0,0.0,2421.018314,0.0
ISR,asia,0.0,0.0,2421.018314,0.0
ITA,italy,0.0,0.0,0.0,3784.515507
JOR,asia,0.0,0.0,2421.018314,0.0
JPN,japanasia,0.0,0.0,2421.018314,16726.54079
KAZ,asia,0.0,0.0,2421.018314,0.0
KEN,africa,231145.5463,182291.4328,154947.7235,732430.5721
KGZ,asia,0.0,0.0,2421.018314,0.0
KHM,indochinaasia,0.0,0.0,2421.018314,0.0
KIR,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
KOR,asia,0.0,0.0,2421.018314,0.0
KWT,asia,0.0,0.0,2421.018314,0.0
LAO,indochinaasia,0.0,0.0,2421.018314,0.0
LBN,asia,0.0,0.0,2421.018314,0.0
LBR,africa,231145.5463,182291.4328,154947.7235,732430.5721
LBY,africa,231145.5463,182291.4328,154947.7235,732430.5721
LKA,asia,0.0,0.0,2421.018314,0.0
LSO,africa,231145.5463,182291.4328,154947.7235,732430.5721
MAR,africa,231145.5463,182291.4328,154947.7235,732430.5721
MDG,africa,231145.5463,182291.4328,154947.7235,732430.5721
MDV,asia,0.0,0.0,2421.018314,0.0
MEX,mexicomexico,21874.97874,34908.79968,83124.90786,19490.89981
MHL,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
MKD,yugoslavia,0.0,0.0,0.0,0.0
MLI,africa,231145.5463,182291.4328,154947.7235,732430.5721
MMR,asia,0.0,0.0,2421.018314,0.0
MNE,yugoslavia,0.0,0.0,0.0,0.0
MNG,asia,0.0,0.0,2421.018314,0.0
MOZ,africa,231145.5463,182291.4328,154947.7235,732430.5721
MRT,africa,231145.5463,182291.4328,154947.7235,732430.5721
MUS,africa,231145.5463,182291.4328,154947.7235,732430.5721
MWI,africa,231145.5463,182291.4328,154947.7235,732430.5721
MYS,asia,0.0,0.0,2421.018314,0.0
NAM,africa,231145.5463,182291.4328,154947.7235,732430.5721
NER,africa,231145.5463,182291.4328,154947.7235,732430.5721
NGA,africa,231145.5463,182291.4328,154947.7235,732430.5721
NIC,centralamerica,0.0,0.0,0.0,6.224553445
NOR,norway,0.0,0.0,0.0,18.28542269
NPL,asia,0.0,0.0,2421.018314,0.0
NRU,Otheraustralasia,30.62840941,4.557867876,4.557839524,42.07402892
NZL,newzealand,0.0,0.0,0.0,381905.5395
OMN,asia,0.0,0.0,2421.018314,0.0
PAK,britishindiaasia,0.0,0.0,2421.018314,85742.70001
PAN,centralamerica,0.0,0.0,0.0,6.224553445
PER,peru,21145.82979,45572.8015,50130.12417,40018.99416
