ISO3,country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,AngolaAngolaAngolaAngolaAngolaAngola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4129.015742,2063.983485,0.0,1961.20382,723.6527462,413.2162058,19192.52936,9607.801171,47679.27703,56868.61813,67985.60235,32647.22658,32636.73886,54672.48936,51692.92784,50433.35255,40070.43547,27432.73172,22946.08469,15233.41469,0.0,0.0,0.0,19147.43216,34248.70157,9444.192724,30006.41844,23000.0,28000.0,24200.0,6238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,argentinaArgentina(railwayship-ments)Argentina:ArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentina,0.0,0.0,0.0,0.0,6921.895834,890.4075095,2417.419681,0.0,0,0,0.0,0.0,0.0,144.7305492,237.0224937,0.0,214.9982797,247.5102147,0.0,713.1650253,880.9685606999999,0.0,0,0,0,450.9720013,672.2629135,733.0916951,1523.865855,1470.378479,1697.962023,3256.437358,4410.086664,0.0,0.0,0.0,0.0,0.0,0.0,2412.175821,5243.86048,1258.526515,10332.50269,8338.786935,0.0,15386.53542,20000.08387,22708.01342,41189.4753,30186.80724,39799.85227,38467.91171,29694.93313,28663.99016,37711.74703,37755.79546,0.0,31613.0,13772.0,14289.0,12588.0,26062.0,219.0,53086.0,82385.0,91000.0,90000.0,6146.0,2706.0,3900.0,6926.0,6500.0,7276.0,9886.0,6393.0,9339.0,5532.0,3338.0,4823.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R. (Russia) (d)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314014.946,4129015.742,1879399.596,0,0,0,2346103.179,0.0,2936561.869,2936561.869,0.0,0.0,0.0,2097544.192,2621930.24,2621930.24,2936561.869,3146316.288,3146316.288,3146316.288,4544329.492,4790790.935,4737303.558,4895668.144,5097032.387,5314128.21,5538565.439,5693783.709,6067146.575,6164682.38,6608312.977,6877847.406,7324624.318,7819644.748,7953887.576,7406428.542,6775067.74,7210308.16,6841000.0,7319000.0,7819000.0,8245000.0,8155000.0,8459000.0,8636000.0,8595000.0,9057000.0,9525000.0,9750000.0,9150000.0,9821000.0,9876000.0,10089000.0,9900000.0,9300000.0,9400000.0,9100000.0,9100000.0,8500000.0,7240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,     
AUS,australiaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaaustraliaAustralia,28.31684659,27.2680745,1321.452841,3351.875619,4201.381017,9324.632706,5211.348545,0.0,0,0,2957.537311,4953.350609,1220.77072,1459.890758,1561.621651,175.14494,328.265666,131.096512,13.63403725,266.3881124,210.80319131,1307.8188041,0,0,0,622.970625,160.4621307,12632.4599,14270.64191,10599.93957,6496.094363,2282.128081,1031.991742,1452.549353,1862.619242,3615.117415,13725.28042,15594.1923,8356.616061,7413.769947,34549.69916,29577.47065,49665.65138,62280.28215,80907.52335,62593.86501,94359.07425,63603.83253,91674.21768,75140.32559,37969.74496,64089.41401,105264.2065,327783.2309,587277.7643,773723.2236,952263.039,751113.0,1050537.0,1164831.0,1522424.0,1521989.0,1554909.0,2154167.0,1389004.0,1289994.0,1666000.0,2019511.0,1448977.0,1127085.0,1370233.0,1717000.0,2002960.0,1648921.0,1853279.0,1976087.0,2124000.0,1932000.0,1470000.0,1285000.0,2092000.0,1986000.0,2176000.0,2109000.0,2136000.0,1500000.0,1900000.0,1613000.0,1977000.0,2190000.0,2555000.0,3381000.0,3829000.0,4567000.0,5289000.0,4819000.0,4444000.0,6474000.0,6960769.0,7178975.0,7425985.0,7587207.0,6281497.0,5327566.0,6172266.0,7212118.0,6649432
AUT,austriaAustria(k)..Austria(b)Austria(b)AustriaAustria(e)Austria(e)Austria(e)Austria(e)Austria(a),17067.71709,14248.6177,12310.48686,0.0,0.0,1857.375382,0.0,0.0,0,0,24800.31375,15551.19264,22070.35999,24035.7589,34017.97171,40837.08787,40311.65305,26403.88629,11849.02714,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.6316288,444.6793687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,768.0,70595.0,64734.0,51351.0,58969.0,58141.0,55876.0,61549.0,65284.0,67037.0,60074.0,58945.0,57486.0,44273.0,46483.0,43141.0,925.0,30752.0,890.0,31288.0,42463.0,26000.0,25000.0,,,,,,,,,,,,,,,,,,,,,,
AZE,U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R. (Russia) (d)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia)U.S.S.R.(Russia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314014.946,4129015.742,1879399.596,0,0,0,2346103.179,0.0,2936561.869,2936561.869,0.0,0.0,0.0,2097544.192,2621930.24,2621930.24,2936561.869,3146316.288,3146316.288,3146316.288,4544329.492,4790790.935,4737303.558,4895668.144,5097032.387,5314128.21,5538565.439,5693783.709,6067146.575,6164682.38,6608312.977,6877847.406,7324624.318,7819644.748,7953887.576,7406428.542,6775067.74,7210308.16,6841000.0,7319000.0,7819000.0,8245000.0,8155000.0,8459000.0,8636000.0,8595000.0,9057000.0,9525000.0,9750000.0,9150000.0,9821000.0,9876000.0,10089000.0,9900000.0,9300000.0,9400000.0,9100000.0,9100000.0,8500000.0,7240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,      
BEL,belgium,0.0,0.0,515.9958712,3993.724142,2084.958927,2694.295515,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,burkinafaso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57355.0,49715.0,,,,,,,,
BGD,britishindia,854798.5505,716204.3668,472383.7324,676671.9514,619628.1884,543214.6534,564234.1438,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,BulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariabulgariaBulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,505.5081503,7.341404672,0.0,0.0,0.0,0.0,0.0,2621.93024,3146.316288,0,0,0,1947.569782,974.3092772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13634.03725,22024.21402,33560.70707,65023.86995,79287.17046,83901.76768,29315.27763,26837.02916,25799.79356,38175.30429,36182.63731,39748.46244,53697.13132,42999.65594,30938.77683,45097.20013,41950.88384,41950.88384,33000.0,41000.0,30000.0,38000.0,34000.0,35000.0,40000.0,40000.0,40000.0,40000.0,49000.0,45000.0,45000.0,45000.0,45000.0,38000.0,37000.0,38000.0,35000.0,18000.0,39000.0,34000.0,29000.0,,,19000.0,44270.0,47430.0,55600.0,,,1515.0,4.0,4200.0,27800.0,38500.0,20500.0,27900.0,39100.0,28300.0,106000.0,85600.0,39100.0,103600.0,75000.0,46500.0,41700.0,2000.0,,
