ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.696,,,,1503.68,4003.04,4000.0,4000.0,4600.0,6000.0,6000.0,6500.0,7000.0,7500.0,8000.0,8000.0,8500.0,8800.0,9000.0,9000.0,9000.0,7200.0,7500.0,7700.0,8000.0,8000.0,8843.0,4000.0,200.0,,,,,,,,,,,,,700.0,90.0,2197.0,1349.0,550.0,1954.0,914.0,750.0,2151.0,4791.0,6280.0,3952.0,5323.0,4204.0,2800.0,,,,
AUS,Australia,,,,,,,,,,,,,,,258.064,738.632,843.28,966.216,893.064,944.88,988.568,1219.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800.0,35500.0,35500.0,40100.0,43930.0,75825.0,82532.0,85868.0,82359.0,73600.0,74323.0,74355.0,87552.0,76625.0,76889.0,85757.0,76739.0,74554.0,62639.0,66000.0,70000.0,67600.0,59000.0,72000.0,82000.0,102700.0,113000.0,123400.0,143900.0,125000.0,165700.0,205000.0,207800.0,191000.0,187000.0,189000.0,185000.0,184000.0,200000.0,166000.0,168500.0,215014.0,243597.0,280584.0,244689.0,225227.0,203135.0,185466.0,160022.0,158751.0,,,,
BIH,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,300.0,3000.0,2700.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64,73.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,,,,,,,,,,,,,,,,,,,,,,862.584,1828.8,,,2540.0,,8737.6,15240.0,,,,13411.2,20320.0,25400.0,25400.0,25400.0,25400.0,25400.0,36576.0,39624.0,41656.0,43688.0,46736.0,49784.0,52832.0,52832.0,57912.0,76200.0,81280.0,81280.0,81280.0,81280.0,91440.0,91440.0,101600.0,106680.0,2990.0,3271.0,3398.0,4122.0,3536.0,3190.0,5273.0,4241.0,3600.0,3500.0,5838.0,6567.0,14451.0,15561.0,21670.0,20300.0,21240.0,22092.0,18667.0,20963.0,24054.0,26376.0,29372.0,30000.0,,29124.0,25245.0,31936.0,36764.0,43784.0,45317.0,45456.0,44928.0,45160.0,47446.0,74198.0,82492.0,58317.0,67116.0,67000.0,54100.0,74600.0,89600.0,77400.0,85600.0,182900.0,134600.0,83200.0,65300.0,55700.0,,,,
BWA,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,5990.0,6467.0,12581.0,12099.0,16049.0,16173.0,15442.0,18279.0,17763.0,18214.0,18562.0,19565.0,18972.0,16528.0,22539.0,21309.0,19022.0,19294.0,18873.0,21621.0,19041.0,18088.0,22095.0,20157.0,22851.0,22898.0,21446.0,22454.0,23896.0,27400.0,22292.0,28212.0,26762.0,22844.0,28940.0,29616.0,24931.0,15675.0,17948.0,22848.0,14958.0,16789.0,14273.0,,,,,,,
CAN,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277491.0,267023.0,234949.0,249047.0,269071.0,242180.0,240825.0,232512.0,128310.0,131579.0,184802.0,160247.0,88581.0,125022.0,161831.0,169971.0,163639.0,193391.0,216589.0,200899.0,196225.0,192259.0,186384.0,188080.0,150096.0,181820.0,192649.0,190529.0,208302.0,186177.0,190793.0,194058.0,189297.0,163244.0,186546.0,198932.0,232948.0,254915.0,259651.0,136594.0,160063.0,219025.0,211701.0,223295.0,234951.0,234519.0,235034.0,214302.0,185962.0,180904.0,,,,
CHN,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0,11000.0,13500.0,15000.0,17500.0,25800.0,24000.0,26000.0,26000.0,27500.0,27300.0,30400.0,32800.0,30800.0,36900.0,41800.0,43800.0,46600.0,48700.0,49500.0,50300.0,51000.0,53700.0,61100.0,63287.0,72700.0,82100.0,66400.0,79500.0,81100.0,79800.0,89800.0,93300.0,93200.0,90000.0,101403.0,100219.0,102300.0,108200.0,104674.0,,,,
CIV,ivorycoast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,12300.0,9100.0,,,,,
COL,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244.0,14183.0,16460.0,14608.0,20980.0,22800.0,19200.0,24900.0,23100.0,23000.0,400.0,22900.0,26200.0,29806.0,27154.0,31230.0,29422.0,39274.0,58927.0,53000.0,58500.0,70800.0,75000.0,89000.0,94100.0,100500.0,77000.0,72000.0,49433.0,37800.0,51595.0,49369.0,41221.0,36671.0,37091.0,40606.0,43055.0,40571.0,,,,
CUB,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,44.704,398.272,492.76,533.4,537.464,493.776,537.464,502.92,498.856,527.304,458.216,567.944,842.264,1137.92,1309.624,1715.008,1916.176,2357.12,3287.776,4138.168,1155.192,,,,,,,,,,,,36775.0,36455.0,36789.0,36500.0,34000.0,37300.0,37021.0,36750.0,34787.0,32324.0,38207.0,40260.0,37603.0,39257.0,33200.0,32064.0,33524.0,35221.0,42145.0,44685.0,39292.0,32246.0,31036.0,29157.0,25956.0,40800.0,51300.0,59100.0,65100.0,63900.0,68100.0,72600.0,71300.0,74000.0,71900.0,73800.0,73400.0,73900.0,67300.0,65000.0,65400.0,68600.0,64600.0,66000.0,50000.0,50000.0,48000.0,49300.0,49000.0,45300.0,,,,
DEU,GermanyGermany,22531.832,20646.136,30982.92,37627.56,38249.352,41958.768,20204.176,27729.688,,,28327.096,27784.552,33499.552,29806.392,30298.136,43885.104,50017.68,47066.2,29784.04,13755.624,37766.752,58369.2,62827.408,76989.432,102010.464,95510.096,102555.04,111377.984,128024.128,129364.232,130637.28,124550.424,111183.928,87142.32,107606.592,119507.0,116739.416,112176.56,125098.048,127506.984,130349.752,146302.984,158684.976,161938.208,170663.616,,,,,,,207279.24,235115.608,202846.432,225558.096,239810.544,193516.504,,,,,,2400.0,2500.0,2500.0,2700.0,2500.0,2700.0,2700.0,2500.0,2200.0,2000.0,1600.0,1700.0,1800.0,1500.0,1500.0,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,DominicanRepublic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,17400.0,28298.0,30492.0,26900.0,24400.0,24905.0,14302.0,25400.0,16350.0,19020.0,5958.0,20200.0,24220.0,25400.0,21900.0,32500.0,29300.0,31300.0,42148.0,44661.0,42641.0,37423.0,,46523.0,43560.0,47730.0,40300.0,39680.0,39943.0,33419.0,37521.0,45253.0,46000.0,28298.0,29675.0,29100.0,18800.0,,,13528.0,15186.0,9355.0,,,9913.0,15632.0,19214.0,28450.0,,,,
EGY,Egypt,,,,,,,,,,,,,,,,,,,,,,,1488.44,1312.672,1219.2,959.104,913.384,744.728,471.424,,,,,,,,,,,57.912,14.224,104.648,65.024,59.944,67.056,333.248,138.176,70.104,137.16,107.696,101.6,71.12,50.8,71.12,50.8,30.48,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380.0,6398.0,6630.0,8136.0,8029.0,6296.0,,2398.0,7574.0,8631.0,7213.0,,,,,,,,
FIN,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,406.4,457.2,1999.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.0,3723.0,5350.0,5800.0,6300.0,5700.0,6400.0,5810.0,4377.0,5510.0,6550.0,7557.0,4746.0,5214.0,6323.0,7993.0,11403.0,10038.0,11070.0,9233.0,10812.0,10332.0,10311.0,8862.0,7200.0,4382.0,3872.0,3252.0,1967.0,730.0,4300.0,3000.0,3500.0,3700.0,4000.0,3400.0,3000.0,3600.0,6200.0,1600.0,12100.0,18244.0,19073.0,18560.0,19700.0,9383.0,20654.0,34641.0,43572.0,38530.0,,,,
GRC,GreeceGreece,271.272,251.968,335.28,1660.144,2071.624,1870.456,583.184,,,,3.048,,,,,,,,,,,,272.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.0,10600.0,11300.0,13900.0,15100.0,14800.0,16448.0,9610.0,15100.0,14632.0,13900.0,10900.0,5000.0,12900.0,13600.0,15952.0,10324.0,9200.0,13131.0,16097.0,728.0,16005.0,15424.0,10931.0,18800.0,19947.0,20558.0,20996.0,18544.0,16556.0,23365.0,20742.0,22700.0,19100.0,19000.0,20400.0,21700.0,21200.0,18600.0,9600.0,36900.0,43500.0,40700.0,37000.0,35100.0,20800.0,21800.0,19100.0,17900.0,13700.0,,,,
GTM,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250.0,12100.0,48400.0,,46298.0,36939.0,54517.0,65710.0,55000.0,,,,
HRV,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,300.0,3000.0,2700.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,NetherlandsEastIndiesIndonesia,,,,,,,,,,,,,,,,,,,,,,,,,,363.728,871.728,830.072,2326.64,1253.744,1615.44,1782.064,1022.096,108.712,,,,,83.312,403.352,405.384,169.672,98.552,45.72,,113.792,376.936,2263.648,2133.6,2590.8,3088.64,3312.16,3108.96,3136.392,3616.96,3402.584,3657.6,10800.0,12000.0,14100.0,15800.0,16000.0,14600.0,13800.0,16100.0,30200.0,37200.0,40600.0,49400.0,48500.0,41200.0,47800.0,48200.0,67300.0,57200.0,59800.0,59600.0,68583.0,70400.0,78100.0,65800.0,81200.0,86600.0,87900.0,71100.0,74100.0,89100.0,98200.0,102100.0,123000.0,143000.0,133000.0,150000.0,150000.0,201400.0,219300.0,202800.0,305200.0,552300.0,720000.0,869300.0,215700.0,129600.0,204000.0,355000.0,651600.0,1036200.0,,,,
IND,India,,,,,,,,,,,90.424,173.736,246.888,277.368,780.288,473.456,310.896,279.4,338.328,176.784,114.808,,145.288,97.536,199.136,376.936,357.632,502.92,561.848,554.736,582.168,896.112,1047.496,319.024,586.232,800.608,716.28,828.04,685.8,574.04,545.592,2399.792,4410.456,7270.496,11702.288,10649.712,10527.792,11365.992,10138.664,10175.24,10370.312,11053.064,12254.992,12008.104,13257.784,13746.48,14166.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.592,26.416,12.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,8227.568,7904.48,5401.056,4059.936,4761.992,2708.656,1808.48,7518.4,,,2677.16,3657.6,3373.12,3828.288,3213.608,1871.472,4368.8,4876.8,3860.8,,5037.328,4937.76,8229.6,4897.12,6705.6,9580.88,11641.328,11930.888,10644.632,6791.96,5419.344,6038.088,4074.16,3352.8,3352.8,4881.88,3380.232,5630.672,8879.84,10654.792,17060.672,13694.664,24715.216,29515.816,43281.6,14189.456,32790.384,52832.0,53848.0,33528.0,45720.0,61976.0,61976.0,67056.0,82296.0,113792.0,117043.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.256,4678.68,17867.376,16585.184,3176.016,,,,,11646.408,16560.8,17980.152,18796.0,19812.0,25400.0,17944.592,17983.2,114401.6,14803.12,118201.44,118262.4,22413.976,27432.0,26416.0,30842.712,33700.72,35197.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9900.0,3500.0,4000.0,3600.0,,284.0,,,,,500.0,1000.0,1200.0,1600.0,,,,,,,,,,,,,,,
KOR,SouthKorea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,14.224,32.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,200.0,230.0,300.0,400.0,500.0,200.0,200.0,100.0,500.0,500.0,500.0,500.0,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,317.0,217.0,288.0,175.0,200.0,,196.0,100.0,100.0,,,,,
MDG,madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695.0,25148.0,37053.0,47271.0,42105.0,35474.0,33183.0,33733.0,,,,
MKD,YugoslaviaMacedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,3800.0,6000.0,8000.0,6600.0,100.0,,3100.0,5100.0,5600.0,5300.0,7800.0,10900.0,15000.0,15000.0,12000.0,,1800.0,3600.0,1700.0,,,,,,,,,,
MMR,BurmaMyanmar,,,,,,,,,,,,,,,,,,,,,,,12.192,14.224,2.032,76.2,487.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,30.0,15.0,21.0,22.0,19.0,24.0,17.0,18.0,,14.0,20.0,20.0,20.0,20.0,55.0,50.0,50.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,2000.0,21000.0,22913.0,22562.0,21828.0,11475.0,16000.0,,,,
MNE,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2000.0,3500.0,1600.0,2200.0,2800.0,3200.0,3500.0,5600.0,6300.0,4900.0,3200.0,3000.0,3000.0,,300.0,3000.0,2700.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,newCaledonia,,2.032,16.256,35.56,49.784,24.384,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,390.144,,,,,,,,,,,,,,,,,,,,,,,,,138500.0,150900.0,108061.0,115372.0,136800.0,133282.0,118945.0,115755.0,66145.0,82900.0,86592.0,78090.0,60101.0,46162.0,53651.0,72361.0,64518.0,57470.0,71242.0,96150.0,85047.0,99664.0,100500.0,100604.0,96000.0,119905.0,122486.0,136459.0,124729.0,110062.0,126041.0,117734.0,99841.0,112013.0,118227.0,111939.0,102986.0,125364.0,102583.0,92570.0,131309.0,128732.0,131693.0,164406.0,178080.0,193199.0,204207.0,215382.0,216225.0,209549.0,,,,
NOR,Norway,958.088,748.792,1131.824,564.896,87.376,668.528,,,,,,,,27.432,25.4,,258.064,,,955.04,1376.68,,1108.456,1254.76,,1207.008,,,,,,,,,,,,,,,,,,350.52,,508.0,,,,,,,645.16,1489.456,2157.984,3734.816,8268.208,298.0,360.0,377.0,465.0,576.0,304.0,400.0,500.0,500.0,600.0,508.0,489.0,405.0,359.0,600.0,425.0,467.0,386.0,382.0,1300.0,2200.0,2200.0,3398.0,3462.0,3328.0,3389.0,3119.0,2725.0,3219.0,2948.0,2536.0,2800.0,2052.0,,,342.0,320.0,378.0,377.0,336.0,348.0,339.0,351.0,296.0,290.0,300.0,300.0,200.0,300.0,200.0,,,,
PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32,6.096,,284.48,264.16,254.0,18.288,1.016,,,,,103.0,222.0,384.0,399.0,326.0,9364.0,15239.0,36781.0,29528.0,28762.0,47114.0,29247.0,19634.0,13900.0,11894.0,28158.0,12745.0,8510.0,10349.0,18049.0,15818.0,13707.0,14005.0,10000.0,9845.0,15075.0,15003.0,18133.0,20685.0,9374.0,20200.0,27176.0,24234.0,19537.0,16973.0,22560.0,64705.0,91367.0,80645.0,137350.0,184330.0,319354.0,317621.0,315633.0,363352.0,418292.0,300506.0,339377.0,344966.0,323325.0,,,,
PNG,papuanewguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9516.0,12918.0,16725.0,25582.0,22269.0,34666.0,35355.0,33091.0,,,,
