ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,ArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentina,1.097042083,0.0,0.0,0.662498834,0.901993717,0.777580791,0.0,0.0,0.0,0,1.9667506460000002,1.047805667,1.008771111,0.466548474,0.466548474,0.466548474,0.466548474,0.466548474,0.466548474,1.555161581,1.555161581,0.0,0.0,16.26076949,0.0,99.81027029,148.4246213,115.3618861,99.06379273,113.4023825,302.9143728,0.0,85.84491929,96.10898572,75.7488103,37.38297409,38.86103076,35.76871637,0.0,29.95079469,27.85213524,50.99959566,46.34381512,48.13054026,41.98936269,0,0,0,0,0,0,60.43752916,71.09741532,68.65030637,82.11253149,76.82436005,0.0,63.8,98.873,66.002,77.759,59.727,72.046,69.993,76.225,67.3,56.0,73.309,78.326,83.489,77.767,78.0,67.5,66.371,0.665,79.415,83.436,82.657,69.959,45.374,42.743,38.056,47.787,50.399,52.55,35.768,73.788,78.271,152.802,125.878,133.907,155.368,263.766,245.124,255.567,355.596,415.235,693.6,702.0,750.0,774.47,905.1,1175.246,1055.7,997.961,1023.768,1000.0
ARM,ArmeniaArmeniaArmeniaArmeniaSovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.3026033,155.5161581,155.5161581,217.7226214,217.7226214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,1213.0,1244.0,1275.0,1300.0,1340.0,1370.0,1400.0,1430.0,1430.0,1550.0,1580.0,1595.0,1600.0,1600.0,1620.0,1600.0,1550.0,1580.0,1500.0,1380.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,16.4,16.1,14.0,14.083,13.295,14.344,16.0,19.0,15.0,20.0
AUS,AustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustralia,469.391372005,386.528475003,343.078380171,316.48079379899997,382.36073529600003,464.775465735,181.85860471,20.84333302,0.0,0,1.046281609,0.0,0.0,320.639047,361.0216167,298.4005474,313.2427918,313.3651208,209.3318093,294.2480483,336.4486952,353.242232,359.6271656,382.1975366,437.2883581,483.7186091,476.5051165,493.6697459,479.3810768,442.9663463,321.2910951,291.3043451,251.212715,281.337439,296.3248422,312.821343,306.3423533,332.1033871,335.667071,355.3815433,385.772231,430.0655656,452.7203508,453.6778638,489.5474169,0,0,0,0,0,0,573.1389381,537.4899381,587.468228,617.1503219,665.4225374,776.6787969,808.443,678.418,680.685,707.414,669.954,726.218,778.658,856.11,775.548,826.612,766.816,743.557,906.863,1042.828,970.22,1085.933,1022.761,1119.3,1134.332,1075.0,0.0,0.0,0.0,0.0,0.0,939.0,1013.0,1106.0,1474.0,1720.0,2059.0,1970.0,2077.0,1868.0,2209.0,2417.0,1727.0,1880.0,1926.0,1633.0,1879.0,1725.006,1726.933,1839.782,1847.11,0.0,0.0,0.0,0.0,0.0
AUT,AustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustria-Hungary,0.0,65.44452739,48.91748313,55.1366676,46.65484744,46.65484744,54.43065535,0.0,0.0,0,0.271997761,0.0,0.0,2.322447202,1.6361855,1.545146341,1.193959752,0.94696899,2.569935616,0.584274206,1.214954434,0.867780162,0.569748997,0.119685235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040994059,0.026997605,0.189978539,0.139995646,0.159995023,0.173991478,0.113993344,0.039998756,0.039998756,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,6.84,5.97,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,AzerbaijanAzerbaijanSovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.3026033,155.5161581,155.5161581,217.7226214,217.7226214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,1213.0,1244.0,1275.0,1300.0,1340.0,1370.0,1400.0,1430.0,1430.0,1550.0,1580.0,1595.0,1600.0,1600.0,1620.0,1600.0,1550.0,1580.0,1500.0,1380.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,4.175,0.626,2.051,0.97,0.89,5.136,8.076,8.943,8.16
BEL,Belgium,0.0,253.9321016,141.5855805,33.64893782,41.0587229,10.48965818,4.899847594,6.606792946,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,BurkinaFasoBurkinaFaso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.32,60.0,5.5,5.8,7.0,8.0,7.7
BGR,BulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573979036,0.0,0.0,0.404342011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,25.0,28.0,25.0,24.0,23.0,0.0,25.0,26.0,26.0,26.0,26.0,24.5,20.0,54.0,37.3,33.0,30.0,29.0,29.0,48.77,31.53,23.79,25.0,54.534,56.806,60.0,60.0,60.0,55.0,65.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,37.955,52.526,53.053,41.315,35.145
BIH,JugoslaviaJugoslaviaJugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslaviaYugoslavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.763957575,0.971975988,0.0,1.399956455,1.673353861,0.0,2.48825853,2.394948835,2.48825853,62.76943174,63.91714099,68.92476128,54.53929893,55.53727722,69.7488414,76.20291748,71.53743274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.21231066,94.30499829,80.15436534,94.80324096,88.00329694,92.79925974,85.84532363,80.54934528,0,0,0,0,0,0,106.0131567,132.7649218,114.0010886,107.5461416,94.02824173,107.5091288,106.271,104.307,101.0,106.0,121.0,143.595,144.0,145.5,159.4,162.0,148.791,137.516,103.976,124.0,128.0,156.451,177.446,151.129,138.957,133.018,105.3,0.0,66.42,25.144,18.0,31.054,68.805,42.64,34.474,7.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,SovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnionSovietUnion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.3026033,155.5161581,155.5161581,217.7226214,217.7226214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,1213.0,1244.0,1275.0,1300.0,1340.0,1370.0,1400.0,1430.0,1430.0,1550.0,1580.0,1595.0,1600.0,1600.0,1620.0,1600.0,1550.0,1580.0,1500.0,1380.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
