ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103932.0,282664.0,343470.0,648547.0,799311.0,741710.0,627528.0,,,,,,,6091.0,6158.0,4831.0,6052.0,5606.0,5604.0,500.0,5500.0,,,436555.0,397649.0,586852.0,608557.0,512000.0,638894.0,809525.0,567047.0,673707.0,635389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000.0,173000.0,251000.0,352000.0,420000.0,295000.0,,,,,,,540.0,567.0,594.0,600.0,600.0,650.0,760.0,760.0,760.0,800.0,550000.0,600000.0,600000.0,650000.0,650000.0,1130000.0,1150000.0,1200000.0,1200000.0,,1093000.0,446000.0,21000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,argentina,,,,,,,,,,,,,,,,,,,,,,,,,,2328.0,3531.0,2461.0,3691.0,876.0,148.0,,698.0,,,,,,,66000.0,72000.0,59500.0,89787.0,64000.0,69000.0,64618.0,108000.0,157000.0,136424.0,119153.0,92916.0,,,,,,,239.0,282.0,259.0,237.0,245.0,286.0,506.0,1030.0,1000.0,1200.0,95534000.0,84661000.0,87694000.0,71037000.0,88969000.0,97447113.0,94014818.0,101747638.0,96064000.0,105810000.0,775073.0,160684.0,5958.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,sovietunionussr,,,,,,,,,,,,,,,,,,,,,,,,,,27000000.0,,28000000.0,30000000.0,,,,20000000.0,22000000.0,26000000.0,31000000.0,35000000.0,44000000.0,50000000.0,51730000.0,58700000.0,63300000.0,70700000.0,76800000.0,82900000.0,87413000.0,92899000.0,104858000.0,115775000.0,126079000.0,135304000.0,,,,,,,195506.0,203004.0,208000.0,216000.0,225000.0,232803.0,239109.0,239716.0,244231.0,241597.0,244713000.0,242417000.0,244411000.0,245200000.0,247104000.0,248000000.0,250000000.0,251000000.0,250000000.0,241000000.0,236000000.0,199300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,173073.0,226028.0,417744.0,324144.0,449860.0,416302.0,437260.0,605626.0,,,557941.0,719279.0,738686.0,740649.0,884806.0,675092.0,,,,546160.0,729738.0,1247465.0,1874350.0,1889599.0,1870954.0,2250491.0,2575758.0,2362646.0,2250668.0,2128408.0,2193331.0,2038638.0,1529371.0,1818216.0,1845529.0,2042005.0,1460231.0,2364699.0,2428723.0,2907754.0,3298718.0,3518804.0,3572609.0,3923985.0,3805473.0,3917424.0,4140693.0,4355464.0,5342041.0,4843494.0,5514562.0,,,,,,,51189.0,62063.0,64401.0,84828.0,96950.0,97651.0,93255.0,95923.0,83134.0,89000.0,3200000.0,3050000.0,3330000.0,3540000.0,3600000.0,3270000.0,3120000.0,3050000.0,2300000.0,2410000.0,110509000.0,117673000.0,112101000.0,120534000.0,128493000.0,142936000.0,152138000.0,156286000.0,160731000.0,149966000.0,171508000.0,181435000.0,188760000.0,212881000.0,230955000.0,261796000.0,275042000.0,299038000.0,342435000.0,394069000.0,433452000.0,477330291.0,519858812.0,612415940.0,745734695.0,809881763.0,858025634.0,885356738.0,907818648.0,918731337.0
AUT,Austria,2990478.0,2244588.0,2505977.0,,1729889.0,1143839.0,246465.0,,,,1191602.0,702333.0,1013805.0,1077088.0,1573323.0,1897729.0,,,,301951.0,262814.0,459462.0,763175.0,1008110.0,1854928.0,2605000.0,2766000.0,2936241.0,2608000.0,2716900.0,2835000.0,2621325.0,313900.0,452837.0,870881.0,1178342.0,1464121.0,1830046.0,2332246.0,2610694.0,2713093.0,2677788.0,2793621.0,3206433.0,3440511.0,3356519.0,3328928.0,3485630.0,3634379.0,3692152.0,3675420.0,,,,,,,3997.0,4171.0,4123.0,4211.0,4245.0,3833.0,3784.0,3449.0,788.0,200.0,,,,,,,,,,,2300000.0,2120000.0,1627000.0,1427000.0,1644000.0,2107000.0,1860300.0,1794129.0,1792000.0,1747000.0,1859449.0,1843275.0,1941759.0,2124787.0,1889419.0,2047950.0,2092996.0,2152825.0,2032671.0,2002131.0,2068853.0,2206910.0,2142255.0,2323323.0,2436675.0,2783327.0,2777260.0,2981737.0,2803536.0,2800000.0
AZE,azerbaijansovietunionussr,,,,,,,,,,,,,,,,,,,,,,,,,,27000000.0,,28000000.0,30000000.0,,,,20000000.0,22000000.0,26000000.0,31000000.0,35000000.0,44000000.0,50000000.0,51730000.0,58700000.0,63300000.0,70700000.0,76800000.0,82900000.0,87413000.0,92899000.0,104858000.0,115775000.0,126079000.0,135304000.0,,,,,,,195506.0,203004.0,208000.0,216000.0,225000.0,232803.0,239109.0,239716.0,244231.0,241597.0,244713000.0,242417000.0,244411000.0,245200000.0,247104000.0,248000000.0,250000000.0,251000000.0,250000000.0,241000000.0,236000000.0,199300000.0,400000.0,300000.0,,,,,,,,,4000.0,3100.0,19100.0,7300.0,11300.0,17600.0,28100.0,,57800.0,214300.0,207300.0,141400.0,91400.0,127600.0,25500.0,,,
BEL,Belgium,148032.0,81036.0,4644.0,29941.0,16727.0,492.0,4743.0,,,,115208.0,97183.0,,142690.0,178033.0,,,,,91344.0,104523.0,,1874350.0,1889599.0,1870954.0,178063.0,174569.0,78000.0,129000.0,111000.0,125000.0,,29300.0,42173.0,59377.0,90144.0,43266.0,43335.0,78000.0,135358.0,101590.0,83234.0,106471.0,142000.0,135000.0,122000.0,140000.0,158300.0,113400.0,79100.0,94000.0,,,,,,,93.0,93.0,113.0,116.0,123.0,93.0,63.0,47.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,frenchwestafrica,,,,,,,,,,,,,,,,,,,,,,,,,,,10400.0,,,,,,,,,,,,,,392335.0,582765.0,640000.0,833500.0,1072000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,frenchwestafrica,,,,,,,,,,,,,,,,,,,,,,,,,,,10400.0,,,,,,,,,,,,,,392335.0,582765.0,640000.0,833500.0,1072000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
