ISO3,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,DutchWestDutchWestIndies(b)DutchWestIndies(exports)NetherlandsWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports),39624.0,97536.0,31297.88,14462.76,3580.384,,19045.936,64937.64,,,85826.6,100437.696,81835.752,106771.44,108875.576,104188.768,103284.528,87492.84,,64404.24,85546.184,100622.608,90704.416,78127.352,101832.664,99278.44,65077.848,5892.8,113671.096,21425.408,7907.528,7938.008,10420.096,78670.912,79225.648,58826.4,113009.68,91948.0,108606.336,101139.752,90062.304,6221942.344,94208.6,6198825.296,702399.408,86633.304,98156.776,114906.552,151989.536,131545.584,128274.064,119548.656,114884.2,147462.24,101242.368,93133.672,,,,,,,,,,,,14634.0,,,3525.0,,27992.0,22702.0,22291.0,21931.0,15738.0,4180.0,9522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT,DutchWestIndies(exports)DutchWestIndies(exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000.0,156000.0,111584.0,92533.0,107048.0,82000.0,54000.0,79000.0,81000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina(f)ArgentinaGuano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.832,119.888,65.024,235.712,,,317.0,594.0,410.0,541.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d),,,,,,,,,,,,,,,,,,,,101600.0,203200.0,382016.0,1828800.0,2213762.4,,2346960.0,2137664.0,2014728.0,1351280.0,1016000.0,1016000.0,1016000.0,1625600.0,1625600.0,2032000.0,2336800.0,2540000.0,2540000.0,2794000.0,3647440.0,4028440.0,4500880.0,4947920.0,5349240.0,5750560.0,6004560.0,6106160.0,7091680.0,8798560.0,10007600.0,11094720.0,10733024.0,13599160.0,14747240.0,16301720.0,17699736.0,19249136.0,20800000.0,21650000.0,22500000.0,23750000.0,26300000.0,24150000.0,24200000.0,24250000.0,24800000.0,25000000.0,30300000.0,30700000.0,31300000.0,31600000.0,31900000.0,33755000.0,33900000.0,34100000.0,34400000.0,34400000.0,35082000.0,29994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia...Australia:.Australia:.:.AustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustralia-PhosphaterockAustralia-GuanoaustraliaPhosphaterockaustraliaGuanoAustraliaAustraliaAustraliaAustralia'Australia'Nauru(b)(e)'Australia'Australia'Australia(a)'Australia(a),6045.2,6891.528,5805.424,7574.28,8764.016,12108.688,9161.272,,,,1016.0,540.512,753.872,1275.08,893.064,138.176,71.12,26.416,618.744,882.904,97.536,210.312,238.76,177.8,20.32,243.84,,254.0,8627.872,14181.328,12975.336,6417.056,9344.152,20.32,5402.072,2169.16,11.176,1653.032,8055.864,5632.704,3421.888,6217.92,6472.936,6896.608,11612.88,7539.736,4851.4,2358.136,4951.984,4455.16,5003.8,5780.024,4591.304,5806.44,11958.32,5835.904,18550.128,14489.0,6786.0,1051.0,1144.0,1484.0,123883.0,275600.0,449631.0,250415.0,6999.0,6621.0,21997.0,211463.0,4868.0,10000.0,33116.0,33659.0,11294.0,13000.0,8000.0,16000.0,3000.0,2000.0,1700.0,21000.0,527073.0,551320.0,541050.0,,,977146.0,1894495.0,2026971.0,2286247.0,2015597.0,1935630.0,2083454.0,2131045.0,2156848.0,1962893.0,2135801.0,2388038.0,884643.0,2064291.0,1950050.0,1027622.0,1037265.0,942373.0,850987.0,720615.0
AZE,U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d)U.S.S.R.(Russia)(d),,,,,,,,,,,,,,,,,,,,101600.0,203200.0,382016.0,1828800.0,2213762.4,,2346960.0,2137664.0,2014728.0,1351280.0,1016000.0,1016000.0,1016000.0,1625600.0,1625600.0,2032000.0,2336800.0,2540000.0,2540000.0,2794000.0,3647440.0,4028440.0,4500880.0,4947920.0,5349240.0,5750560.0,6004560.0,6106160.0,7091680.0,8798560.0,10007600.0,11094720.0,10733024.0,13599160.0,14747240.0,16301720.0,17699736.0,19249136.0,20800000.0,21650000.0,22500000.0,23750000.0,26300000.0,24150000.0,24200000.0,24250000.0,24800000.0,25000000.0,30300000.0,30700000.0,31300000.0,31600000.0,31900000.0,33755000.0,33900000.0,34100000.0,34400000.0,34400000.0,35082000.0,29994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,BelgiumBelgium:Belgium:.:.:.Belgium(c)Belgium(b):Belgium(b)BelgiumBelgium(f)Belgium(f)Belgium(e)Belgium(e),408432.0,296672.0,84328.0,258064.0,200152.0,232664.0,181864.0,,,,55579.264,26241.248,,30028.896,39758.112,,40328.088,40377.872,43538.648,25808.432,25128.728,,15779.496,16089.376,,75184.0,33994.344,20301.712,99704.144,257775.456,428341.536,131696.968,71276.464,53307.488,99325.176,91215.464,27009.344,50789.84,112260.888,87259.16,55837.328,35271.456,19598.64,13628.624,16107.664,18007.584,13180.568,8242.808,14015.72,12481.56,,22054.312,20320.0,25400.0,27025.6,29972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,FrenchWestAfricaFrenchWestAfricaFrenchWestAfrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.504,,,203.2,,,,809.752,21396.96,45817.536,5486.4,5486.4,5283.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES,DutchWestDutchWestIndies(b)DutchWestIndies(exports)NetherlandsWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports)DutchWestIndies(exports),39624.0,97536.0,31297.88,14462.76,3580.384,,19045.936,64937.64,,,85826.6,100437.696,81835.752,106771.44,108875.576,104188.768,103284.528,87492.84,,64404.24,85546.184,100622.608,90704.416,78127.352,101832.664,99278.44,65077.848,5892.8,113671.096,21425.408,7907.528,7938.008,10420.096,78670.912,79225.648,58826.4,113009.68,91948.0,108606.336,101139.752,90062.304,6221942.344,94208.6,6198825.296,702399.408,86633.304,98156.776,114906.552,151989.536,131545.584,128274.064,119548.656,114884.2,147462.24,101242.368,93133.672,,143000.0,156000.0,111584.0,92533.0,107048.0,82000.0,54000.0,79000.0,81000.0,90000.0,14634.0,,,3525.0,,27992.0,22702.0,22291.0,21931.0,15738.0,4180.0,9522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,FrenchWestAfricaFrenchWestAfricaFrenchWestAfrica'Egypt'BurkinaFaso'BurkinaFaso'BurkinaFaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.504,,,203.2,,,,809.752,21396.96,45817.536,5486.4,5486.4,5283.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095900.0,779445.0,1218561.0,2183200.0,2218900.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2688.0,1414.0,1832.0,1000.0,1000.0,1000.0,1000.0,1000.0
