ISO3,Country/Territory,1493-1600,1601-1700,1701-1800,1801-1900
AGO,OtherAfrica,0.0,0.0,0.0,5.503147151
ALB,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
AND,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
ARG,Argentina,0.0,0.0,0.0,267.6079955
AUS,Australia,0.0,0.0,0.0,4423.173008
AUT,"Austria,Hungary(1493-1918)",2488.517153,856.8188262,1759.285512,3235.890587
BDI,OtherAfrica,0.0,0.0,0.0,5.503147151
BEL,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
BEN,OtherAfrica,0.0,0.0,0.0,5.503147151
BFA,OtherAfrica,0.0,0.0,0.0,5.503147151
BGR,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
BIH,Yugoslavia(servia1876-1918),0.0,0.0,0.0,2.077913241
BLZ,centralamerica,0.0,0.0,0.0,559.4807202
BOL,Bolivia,10075.4182,12953.21803,6054.720726,11953.71463
BRA,Brazil,0.0,1.417635384,76.55231075,2.045165863
BWA,OtherAfrica,0.0,0.0,0.0,5.503147151
CAF,OtherAfrica,0.0,0.0,0.0,5.503147151
CAN,Canada,0.0,0.0,0.0,855.8116246
CHE,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
CHL,Chile,0.0,0.567054154,183.4420187,6666.564984
CHN,China,0.0,0.0,0.0,0.0
CIV,OtherAfrica,0.0,0.0,0.0,5.503147151
CMR,OtherAfrica,0.0,0.0,0.0,5.503147151
COD,OtherAfrica,0.0,0.0,0.0,5.503147151
COG,OtherAfrica,0.0,0.0,0.0,5.503147151
COL,Colombia,116.2461015,317.5503261,428.125886,1294.056649
COM,OtherAfrica,0.0,0.0,0.0,5.503147151
CPV,OtherAfrica,0.0,0.0,0.0,5.503147151
CRI,centralamerica,0.0,0.0,0.0,559.4807202
CYP,UnidstributedEurope,1020.697477,567.0541537,368.5851999,0.0
CZE,Czechoslovakia,0.0,0.0,0.0,0.0
DEU,Germany,1426.141196,753.0479161,1888.857386,6217.173887
