Country,ISO ,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,586,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia,AUS,0,0,0,0,0,0,0,0,0,0,4419.8175,4008.31725,1828.89,548.667,0,15.24075,406.42,71.1235,0,60.963,127.00625,162.568,0,0,0,308.8792,311.92735,287.54215,320.05575,260.1088,234.70755,213.3705,186.9532,206.25815,164.6001,201.1779,183.90505,211.3384,167.64825,217.4347,214.38655,231.6594,235.7236,246.90015,254.0125,15.24075,14.2247,14.2247,17.27285,15.24075,17.27285,18.2889,17.27285,17.27285,17.27285,13.20865,0,469,796,770,776,1078,2709,3250,3324,3393,3400,,,,,,,,,,,1870,1670,1270,1270,1100,2100,1609,1996,2138,1802,1704,2696,2763,2562,2396,5198,5736,5325,5770,5331,4838,4275,5411,6855,6252,,,,,
belgian congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,13879.243,7193.634,7213.955,8128.4,14159.6728,1422.47,7396.844,6695.7695,12355.168,0,0,13696.354,30481.5,30640.0038,18780.6682,48319.2738,45923.4279,33098.8448,41219.1164,37541.0154,56085.96,43080.52,70107.45,85957.83,88061.0535,102960.4107,114299.5287,136620.1151,165560.2673,172180.8491,171340.5757,181780.4895,162300.7789,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,81,150,165,261,270,,,,,,,,,,,205,208,208,205,225,271,406,334,335,332,308,325,269,294,223,326,303,242,337,342,272,149,195,248,196,,,,,
brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1000,1500,2500,2900,4100,4400,4300,4200,4 300,1400,1100,1311,1215,1200,3139,3623,2900,3500,3500,,,,,
burma,MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4523.4546,6004.8555,5588.275,4098.7457,3231.039,3739.064,2133.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,393.21135,395.24345,228.61125,381.01875,489.7361,611.6621,152.4075,269.25325,0,0,8056.26045,8606.95955,10129.00245,6031.2728,7988.1851,8732.94975,8431.1829,6297.4779,4726.6646,4451.31505,4233.88035,5395.2255,6181.6482,8052.19625,4599.65835,4165.805,6645.98305,7205.8266,2388.73355,761.02145,1596.21455,329.2002,989.6327,670.593,5195.06365,14014.37765,5615.70835,5296.66865,8592.73485,12899.7708,14537.6434,20438.8618,30106.57755,31902.95395,33894.41195,1229.4205,1428.5663,1618.56765,1443.80705,1578.9417,1277.17485,1444.8231,1655.14545,1592.15035,1634.82445,1827.87395,1452.9515,2 069,1961,1520,1517,1564,1354,1356,1485,1234,1381,692,914,784,1153,1628,,,,,,5470,5274,5102,5108,4333,5339,5714,5709,5861,5324,5298,5326,5148,4327,5197,5767,7115,8692,8953,4072,4636,6836,6676,7168,6574,,,,,
chile,CHL,0,0,0,0,0,0,0,0,0,0,0,691.93005,0,20.321,7.11235,0,0,0,0,0,0,0,0,0,0,0,0,0,49.78645,2.0321,57.91485,101.605,28.4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6382,6843,7498,8580,8500,,,,,
china,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,986,192,466,409,303,411,679,1 000,1 000,1 000,2104,1840,2000,2000,2000,,,,,,,,,,
congo republic,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500.6879,8431.1829,8221.8766,8326.52975,9682.9565,7376.523,7676.25775,8388.5088,11297.45995,9718.51825,10100.55305,10576.06445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
