Country,ISO3,1801-1900
unitedstates,USA,3045800.363
mexico,MEX,145116.1525
canada&newfoundland,CAN,111435.57
cuba,CUB,142165.1543
chile,CHL,1917216.878
peru,PER,34693.28494
bolivia,BOL,55108.89292
argentina,ARG,17224.13793
venezuela,VEN,115777.677
spainandportugal,ESP,1350969.147
spainandportugal,PRT,1350969.147
engalnd,GBR,878935.5717
germany,DEU,480246.824
russia,RUS,432977.314
sweden,SWE,108295
norway,NOR,105200.5445
italy,ITA,80516.33394
austriahungary,HUN,111466.4247
austriahungary,AUT,111466.4247
japan,JPN,618267.6951
turkey,TUR,2931.034483
southafrica,ZAF,178745.9165
algeria,DZA,3307.622505
australasia,AUS,474098.9111
australasia,NZL,474098.9111
australasia,PNG,474098.9111
