Country,ISO3,1801-1900
united states,USA,3045800.363
mexico,MEX,145116.1525
canada,CAN,63343.92015
newfoundland,CAN,48091.65154
cuba,CUB,142165.1543
chile,CHL,1917216.878
peru,PER,34693.28494
bolivia,BOL,55108.89292
argentina,ARG,17224.13793
venezuela,VEN,115777.677
spain,ESP,1350969.147
portugal,PRT,1350969.147
engalnd,GBR,878935.5717
germany,DEU,480246.824
russia,RUS,432977.314
sweden,SWE,108295
norway,NOR,105200.5445
italy,ITA,80516.33394
austria,AUT,111466.4247
hungary,HUN,111466.4247
japan,JPN,618267.6951
turkey,TUR,2931.034483
south africa,ZAF,178745.9165
algeria,DZA,3307.622505
australasia,AUS, 474098.9111
New Zealnd,NZL, 474098.9111
Papua New Guinea,PNG,474098.9111
