,IS03,Country,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1801-1900
0,AGO,AngolaAngolaAngolaAngola,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121.92,121.92,-1,233.68,223.52,71.12,-1,91.44,284.48,394.208,741.68,1279.144,1158.24,1129.792,1474.216,1522.984,978.408,1467.104,1704.848,1530.096,1753.616,1912.112,926.592,1782.064,130.048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1,ALB,AlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbaniaAlbania,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1727.2,2032.0,2133.6,2336.8,2540.0,2540.0,2540.0,4196.08,4988.56,5994.4,5994.4,5994.4,6000.0,6500.0,6700.0,7000.0,6000.0,9000.0,10000.0,10000.0,11500.0,12500.0,11500.0,11500.0,14000.0,15000.0,15000.0,10300.0,12500.0,13800.0,14000.0,15800.0,250.0,8000.0,3400.0,3500.0,2200.0,3650.0,2630.0,324.0,2300.0,900.0,-1,-1,-1,-1,-1,1696.0,1140.0,2980.0,2980.0,2788.0,2672.0,4379.0,5691.0,5087.0,3503.0,2106.0,218.0,-1,2601.0,3000.0,
2,ARG,ArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentinaArgentina,188.976,-1,25.4,105.664,-1,139.192,-1,-1,-1,-1,304.8,-1,-1,812.8,812.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.496,27.432,19.304,152.4,108.712,274.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,181.864,516.128,550.672,404.368,-1,345.44,518.16,337.312,410.464,-1,-1,461.0,497.0,1125.0,284.0,-1,380.0,265.0,169.0,200.0,100.0,182.0,80.0,37.0,318.0,300.0,391.0,317.0,379.0,492.0,653.0,357.0,409.0,297.0,-1,-1,-1,-1,30421.0,170273.0,210126.0,145197.0,191667.0,204027.0,199020.0,177143.0,187317.0,180144.0,180223.0,156900.0,143084.0,140300.0,116700.0,135700.0,109600.0,102600.0,61800.0,81900.0,33300.0,17400.0,-1,17224.13793
3,ARM,ArmeniaArmeniaArmeniaArmeniaArmeniaArmeniaSoviet UnionSoviet UnionSoviet UnionSoviet UnionSoviet UnionUSSRUSSRUSSRUSSRUSSRUSSRUSSRUSSRUSSRUSSR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32004.0,32715.2,44094.4,126492.0,166624.0,182880.0,101600.0,144272.0,-1,-1,-1,-1,-1,121920.0,148336.0,161544.0,195072.0,234696.0,255016.0,300736.0,334264.0,345440.0,360680.0,406400.0,431800.0,472440.0,873760.0,873760.0,914400.0,955040.0,1016000.0,1117600.0,1371600.0,1422400.0,1524000.0,1727200.0,1727200.0,1778000.0,925000.0,990000.0,1050000.0,1100000.0,2300000.0,1130000.0,1100000.0,1140000.0,1150000.0,-1,980000.0,1000000.0,1010000.0,1020000.0,1020000.0,1030000.0,1030000.0,1010000.0,990000.0,950000.0,900000.0,840000.0,2000.0,1000.0,-1,8080.0,9088.0,6770.0,9158.0,9611.0,12234.0,16460.0,16641.0,18068.0,17700.0,16400.0,17800.0,17400.0,18540.0,22968.0,31062.0,33597.0,40908.0,48891.0,50952.0,71957.0,88586.0,97705.0,72357.0,91198.0,
4,AUS,AustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustraliaAustralia,47236.888,39040.816,40617.648,39427.912,40059.864,38971.728,19489.928,27020.52,-1,-1,17996.408,14806.168,12006.072,8861.552,10132.568,9617.456,13016.992,13191.744,13748.512,14892.528,14643.608,12204.192,17261.84,18857.976,19433.032,19757.136,20888.96,20035.52,21192.744,20728.432,24715.216,28504.896,24912.32,18039.08,13332.968,12565.888,13677.392,15143.48,16872.712,20409.408,37078.92,41510.712,46223.936,53889.656,57611.264,76926.44,96469.2,111185.96,97156.016,108683.552,114549.936,105714.8,91834.208,111289.592,91806.776,109632.496,131332.224,157790.0,177261.0,185843.0,220335.0,251340.0,218961.0,218480.0,221579.0,221111.0,234000.0,243541.0,231339.0,245322.0,261476.0,235811.0,259765.0,248368.0,232695.0,243800.0,296000.0,330000.0,320000.0,378000.0,411000.0,391000.0,379000.0,548000.0,558000.0,607000.0,711000.0,832000.0,896000.0,879000.0,830000.0,854000.0,935000.0,878000.0,871000.0,886000.0,854000.0,871000.0,959474.0,920898.0,1000999.0,969540.0,995881.0,947555.0,849121.0,910896.0,934055.0,474098.9111
5,AUT,AustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustriaAustria,4134.104,3309.112,-1,-1,-1,-1,-1,-1,-1,-1,1683.512,1939.544,1839.976,2238.248,2332.736,3034.792,2080.768,2215.896,1312.672,170.688,133.096,83.312,54.864,12.192,-1,-1,-1,-1,-1,-1,-1,7924.8,-1,104.648,322.072,870.712,1360.424,1677.416,1842.008,2753.36,3129.28,3117.088,2696.464,7072.376,2374.392,2506.472,2513.584,2024.888,1956.816,2035.048,1932.432,1613.408,1575.816,1901.952,1960.88,2112.264,2336.8,2262.0,2575.0,2231.0,2713.0,2612.0,1923.0,138.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111466.4247
6,AZE,AzerbaijanAzerbaijanSoviet UnionSoviet UnionSoviet UnionSoviet UnionSoviet UnionUSSRUSSRUSSRUSSRUSSRUSSRUSSR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32004.0,32715.2,44094.4,63246.0,83312.0,91440.0,101600.0,144272.0,-1,-1,-1,-1,-1,121920.0,148336.0,161544.0,195072.0,234696.0,255016.0,300736.0,334264.0,345440.0,360680.0,406400.0,431800.0,472440.0,436880.0,436880.0,457200.0,477520.0,508000.0,558800.0,685800.0,711200.0,762000.0,863600.0,863600.0,889000.0,925000.0,990000.0,1050000.0,1100000.0,2300000.0,1130000.0,1100000.0,1140000.0,1150000.0,-1,980000.0,1000000.0,1010000.0,1020000.0,1020000.0,1030000.0,1030000.0,1010000.0,990000.0,950000.0,900000.0,840000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183.0,611.0,502.0,327.0,784.0,969.0,1941.0,1991.0,1645.0,2210.0,
7,BEN,'French West Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.296,138.176,97.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
8,BFA,'French West Africa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.296,138.176,97.536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
9,BGR,BulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgariaBulgaria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25857.2,29763.72,1865.376,863.6,-1,31369.0,27447.24,-1,40.64,-1,50.8,148.336,-1,20.32,101.6,320.04,558.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5259.832,7199.376,7112.0,10972.8,14122.4,16256.0,18288.0,18288.0,18288.0,24384.0,29464.0,35560.0,37592.0,38608.0,42000.0,44400.0,46300.0,48000.0,50000.0,55000.0,57000.0,57000.0,58000.0,58000.0,62000.0,62000.0,65000.0,68000.0,73000.0,58000.0,60000.0,60000.0,50000.0,50000.0,32900.0,47200.0,400.0,60400.0,75500.0,77400.0,84800.0,75500.0,75500.0,-1,93200.0,97100.0,84400.0,80240.0,79600.0,112536.0,123571.0,116157.0,107195.0,110652.0,112904.0,114603.0,118255.0,115149.0,108300.0,71748.0,70573.0,73003.0,69841.0,70927.0,
