,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,173000,251000,352000,420000,295000,,,,,,,540,567,594,600,600,650,760,760,760,800,550000,600000,600000,650000,650000,1130000,1150000,1200000,1200000,,1093000,446000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,DZA,1327320,1161964,896241,1026105,969458,887961,723757,,,,1425166,1786065,1772228,1604000,1998018,1974409,,,,459560,749426,1305488,1648171,2136248,2288000,,,,,,,,1183350,1644850,1533448,1841964,2497400,2532200,2778100,3051658,3334800,2880600,3541000,2502000,2746124,2297938,1896908,3384027,2821943,2029000,1945000,,,,,,,2863,3147,3669,3135,3820,3188,789,183,3050,050,3454000,3480000,3705000,3684000,3664000,3376000,3360000,3382000,3118000,2748300,2941000,2344000,2523000,2311000,2047000,2192000,2244000,1614200,1783000,1336000,1645000,1291000,1162000,1426200,1886100,1878800,2339637,1982101,2077000,1307000,1474279,1700000,1700000,1066700,911135,944000,826000,830000,830000,830000
angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103932,282664,343470,648547,799311,741710,627528,,,,,,,6091,6158,4831,6052,5606,5604,500,5500,,,436555,397649,586852,608557,512000,638894,809525,567047,673707,635389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,2328,3531,2461,3691,876,148,,698,,,,,,,66000,72000,59500,89787,64000,69000,64618,108000,157000,136424,119153,92916,,,,,,,239,282,259,237,245,286,506,1030,1000,1200,95534000,84661000,87694000,71037000,88969000,97447113,94014818,101747638,96064000,105810000,775073,160684,5958,5000,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,173073,226028,417744,324144,449860,416302,437260,605626,,,557941,719279,738686,740649,884806,675092,,,,546160,729738,1247465,1874350,1889599,1870954,2250491,2575758,2362646,2250668,2128408,2193331,2038638,1529371,1818216,1845529,2042005,1460231,2364699,2428723,2907754,3298718,3518804,3572609,3923985,3805473,3917424,4140693,4355464,5342041,4843494,5514562,,,,,,,51189,62063,64401,84828,96950,97651,93255,95923,83134,89000,3200000,3050000,3330000,3540000,3600000,3270000,3120000,3050000,2300000,2410000,110509000,117673000,112101000,120534000,128493000,142936000,152138000,156286000,160731000,149966000,171508000,181435000,188760000,212881000,230955000,261796000,275042000,299038000,342435000,394069000,433452000,477330291,519858812,612415940,745734695,809881763,858025634,885356738,907818648,918731337
Austria,AUT,2990478,2244588,2505977,,1729889,1143839,246465,,,,1191602,702333,1013805,1077088,1573323,1897729,,,,301951,262814,459462,763175,1008110,1854928,2605000,2766000,2936241,2608000,2716900,2835000,2621325,313900,452837,870881,1178342,1464121,1830046,2332246,2610694,2713093,2677788,2793621,3206433,3440511,3356519,3328928,3485630,3634379,3692152,3675420,,,,,,,3997,4171,4123,4211,4245,3833,3784,3449,788,200,,,,,,,,,,,2300000,2120000,1627000,1427000,1644000,2107000,1860300,1794129,1792000,1747000,1859449,1843275,1941759,2124787,1889419,2047950,2092996,2152825,2032671,2002131,2068853,2206910,2142255,2323323,2436675,2783327,2777260,2981737,2803536,2800000
azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000,300000,,,,,,,,,4000,3100,19100,7300,11300,17600,28100,,57800,214300,207300,141400,91400,127600,25500,,,
belgian congo,COD,,,,,,,,,,,104056,103504,,111687,,,,,,,69,,8400,,,,,,,,,,,,,,,,,,,3837,12288,20936,28092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,148032,81036,4644,29941,16727,492,4743,,,,115208,97183,,142690,178033,,,,,91344,104523,,1874350,1889599,1870954,178063,174569,78000,129000,111000,125000,,29300,42173,59377,90144,43266,43335,78000,135358,101590,83234,106471,142000,135000,122000,140000,158300,113400,79100,94000,,,,,,,93,93,113,116,123,93,63,47,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5679,5300,,,,,,3742,20506,18997,43202,28065,32974,37843,36864
