Country,ISO3,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277491,267023,234949,249047,269071,242180,240825,232512,128310,131579,184802,160247,88581,125022,161831,169971,163639,193391,216589,200899,196225,192259,186384,188080,150096,181820,192649,190529,208302,186177,190793,194058,189297,163244,186546,198932,232948,254915,259651,136594,160063,219025,211701,223295,234951,234519,235034,214302,185962,180904,,,,
Germany,DEU,22531.832,20646.136,30982.92,37627.56,38249.352,41958.768,20204.176,27729.688,,,28327.096,27784.552,33499.552,29806.392,30298.136,43885.104,50017.68,47066.2,29784.04,13755.624,37766.752,58369.2,62827.408,76989.432,102010.464,95510.096,102555.04,111377.984,128024.128,129364.232,130637.28,124550.424,111183.928,87142.32,107606.592,119507,116739.416,112176.56,125098.048,127506.984,130349.752,146302.984,158684.976,161938.208,170663.616,,,,,,,207279.24,235115.608,202846.432,225558.096,239810.544,193516.504,,,,,,2400,2500,2500,2700,2500,2700,2700,2500,2200,2000,1600,1700,1800,1500,1500,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,271.272,251.968,335.28,1660.144,2071.624,1870.456,583.184,,,,3.048,,,,,,,,,,,,272.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600,10600,11300,13900,15100,14800,16448,9610,15100,14632,13900,10900,5000,12900,13600,15952,10324,9200,13131,16097,728,16005,15424,10931,18800,19947,20558,20996,18544,16556,23365,20742,22700,19100,19000,20400,21700,21200,18600,9600,20800,21800,19100,17900,13700,20800,21800,19100,17900,13700,,,,
Norway,NOR,958.088,748.792,1131.824,564.896,87.376,668.528,,,,,,,,27.432,25.4,,258.064,,,955.04,1376.68,,1108.456,1254.76,,1207.008,,,,,,,,,,,,,,,,,,350.52,,508,,,,,,,645.16,1489.456,2157.984,3734.816,8268.208,298,360,377,465,576,304,400,500,500,600,508,489,405,359,600,425,467,386,382,1300,2200,2200,3398,3462,3328,3389,3119,2725,3219,2948,2536,2800,2052,,,342,320,378,377,336,348,339,351,296,290,300,300,200,300,200,,,,
Sweden,SWE,499.872,484.632,770.128,798.576,699.008,,,,,,,,,,162.56,409.448,437.896,875.792,531.368,944.88,994.664,1332.992,1235.456,1271.016,876.808,1244.6,1106.424,1006.856,907.288,911.352,577.088,529.336,516.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newCaledonia,NCL,,2.032,16.256,35.56,49.784,24.384,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,390.144,,,,,,,,,,,,,,,,,,,,,,,,,138500,150900,108061,115372,136800,133282,118945,115755,66145,82900,86592,78090,60101,46162,53651,72361,64518,57470,71242,96150,85047,99664,100500,100604,96000,119905,122486,136459,124729,110062,126041,117734,99841,112013,118227,111939,102986,125364,102583,92570,131309,128732,131693,164406,178080,193199,204207,215382,216225,209549,,,,
Italy,ITA,8227.568,7904.48,5401.056,4059.936,4761.992,2708.656,1808.48,7518.4,,,2677.16,3657.6,3373.12,3828.288,3213.608,1871.472,4368.8,4876.8,3860.8,,5037.328,4937.76,8229.6,4897.12,6705.6,9580.88,11641.328,11930.888,10644.632,6791.96,5419.344,6038.088,4074.16,3352.8,3352.8,4881.88,3380.232,5630.672,8879.84,10654.792,17060.672,13694.664,24715.216,29515.816,43281.6,14189.456,32790.384,52832,53848,33528,45720,61976,61976,67056,82296,113792,117043.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedStates,USA,,,,,,,,,,,44.704,1.016,6.096,,,,,,,,,,,,,121.92,,,,,,,12.192,,,,,,,,,,,,,,,,,,,,,,,,,14454,15455,15299,16576,15076,15410,14940,13015,12255,13667,13293,10976,2906,,13190,5558,1066,,,,330,5523,6671,2464,,1560,1330,,,,,,,,,,,,,,,4093,,,,27167,23417,21302,17573,13494,,,,
India,IND,,,,,,,,,,,90.424,173.736,246.888,277.368,780.288,473.456,310.896,279.4,338.328,176.784,114.808,,145.288,97.536,199.136,376.936,357.632,502.92,561.848,554.736,582.168,896.112,1047.496,319.024,586.232,800.608,716.28,828.04,685.8,574.04,545.592,2399.792,4410.456,7270.496,11702.288,10649.712,10527.792,11365.992,10138.664,10175.24,10370.312,11053.064,12254.992,12008.104,13257.784,13746.48,14166.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,258.064,738.632,843.28,966.216,893.064,944.88,988.568,1219.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,35500,35500,40100,43930,75825,82532,85868,82359,73600,74323,74355,87552,76625,76889,85757,76739,74554,62639,66000,70000,67600,59000,72000,82000,102700,113000,123400,143900,125000,165700,205000,207800,191000,187000,189000,185000,184000,200000,166000,168500,215014,243597,280584,244689,225227,203135,185466,160022,158751,,,,
