Country,ISO3,1493-1600,1601-1700,1701-1800,1801-1900
unitedstates,USA,0,0,0,37940.26493
mexico,MEX,2563.368302,8694.357811,29614.6867,52851.85296
canada,CAN,0,0,0,855.8116246
centralamerica,BLZ,0,0,0,559.4807202
centralamerica,CRI,0,0,0,559.4807202
centralamerica,SLV,0,0,0,559.4807202
centralamerica,GTM,0,0,0,559.4807202
centralamerica,HND,0,0,0,559.4807202
centralamerica,NIC,0,0,0,559.4807202
centralamerica,PAN,0,0,0,559.4807202

southamerica,ARG,12867.0258,22698.32719,16956.0533,28272.03399
southamerica,BOL,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,BRA,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,CHL,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,COL,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,ECU,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,GUY,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,PRY,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,PER,12867.0258,22698.32719,16956.0533,28272.03399
southamerica,SUR,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,URY,12867.0258,22698.32719,16956.0533,28272.03399 
southamerica,VEN,12867.0258,22698.32719,16956.0533,28272.03399 


argentina,ARG,0,0,0,267.6079955
bolivia,BOL,10075.4182,12953.21803,6054.720726,11953.71463
brazil,BRA,0,1.417635384,76.55231075,20.45174369
chile,CHL,0,0.567054154,183.4420187,6666.564984
colombia,COL,116.2461015,317.5503261,428.125886,1294.056649
ecuador,ECU,0,0,0,2.192288064
peru,PER,2675.361497,9425.574142,10213.21236,8067.404792
"guianas,urguay","GUY,SUR,GUF,URY",0,0,0,0.040912957
"guianas,urguay",GUY,0,0,0,0.040912957
"guianas,urguay",SUR,0,0,0,0.040912957
"guianas,urguay",GUF,0,0,0,0.040912957
"guianas,urguay",URY,0,0,0,0.040912957

venezuela,VEN,0,0,0,0


europe,ALB,5038.337567,2543.307343,5364.864162,18420.15089
europe,AND,5038.337567,2543.307343,5364.864162,18420.15089
europe,ARM,5038.337567,2543.307343,5364.864162,18420.15089
europe,AUT,5038.337567,2543.307343,5364.864162,18420.15089
europe,AZE,5038.337567,2543.307343,5364.864162,18420.15089
europe,BEL,5038.337567,2543.307343,5364.864162,18420.15089
europe,BIH,5038.337567,2543.307343,5364.864162,18420.15089
europe,BGR,5038.337567,2543.307343,5364.864162,18420.15089
europe,CYP,5038.337567,2543.307343,5364.864162,18420.15089
europe,DNK,5038.337567,2543.307343,5364.864162,18420.15089
europe,EST,5038.337567,2543.307343,5364.864162,18420.15089
europe,FIN,5038.337567,2543.307343,5364.864162,18420.15089
europe,FRA,5038.337567,2543.307343,5364.864162,18420.15089
europe,GEO,5038.337567,2543.307343,5364.864162,18420.15089
europe,DEU,5038.337567,2543.307343,5364.864162,18420.15089
europe,GRC,5038.337567,2543.307343,5364.864162,18420.15089
europe,HUN,5038.337567,2543.307343,5364.864162,18420.15089
europe,ISL,5038.337567,2543.307343,5364.864162,18420.15089
europe,ITA,5038.337567,2543.307343,5364.864162,18420.15089
europe,KAZ,5038.337567,2543.307343,5364.864162,18420.15089
europe,XKX,5038.337567,2543.307343,5364.864162,18420.15089
europe,LVA,5038.337567,2543.307343,5364.864162,18420.15089
europe,LIE,5038.337567,2543.307343,5364.864162,18420.15089
europe,LTU,5038.337567,2543.307343,5364.864162,18420.15089
europe,LUX,5038.337567,2543.307343,5364.864162,18420.15089
europe,MLT,5038.337567,2543.307343,5364.864162,18420.15089
europe,MDA,5038.337567,2543.307343,5364.864162,18420.15089
europe,MCO,5038.337567,2543.307343,5364.864162,18420.15089
europe,MNE,5038.337567,2543.307343,5364.864162,18420.15089
europe,NLD,5038.337567,2543.307343,5364.864162,18420.15089
europe,MKD,5038.337567,2543.307343,5364.864162,18420.15089
europe,NOR,5038.337567,2543.307343,5364.864162,18420.15089
europe,POL,5038.337567,2543.307343,5364.864162,18420.15089
europe,PRT,5038.337567,2543.307343,5364.864162,18420.15089
europe,ROU,5038.337567,2543.307343,5364.864162,18420.15089
europe,RUS,5038.337567,2543.307343,5364.864162,18420.15089
europe,SMR,5038.337567,2543.307343,5364.864162,18420.15089
europe,SRB,5038.337567,2543.307343,5364.864162,18420.15089
europe,SVK,5038.337567,2543.307343,5364.864162,18420.15089
europe,SVN,5038.337567,2543.307343,5364.864162,18420.15089
europe,SWE,5038.337567,2543.307343,5364.864162,18420.15089
europe,CHE,5038.337567,2543.307343,5364.864162,18420.15089
europe,TUR,5038.337567,2543.307343,5364.864162,18420.15089
europe,UKR,5038.337567,2543.307343,5364.864162,18420.15089
europe,GBR,5038.337567,2543.307343,5364.864162,18420.15089
europe,VAT,5038.337567,2543.307343,5364.864162,18420.15089



austria-hungary,AUT,2488.517153,856.8188262,1759.285512,3235.890587
austria-hungary,HUN,2488.517153,856.8188262,1759.285512,3235.890587
czechoslovakia,CZE,0,0,0,0
czechoslovakia,SVK,0,0,0,0
france,FRA,0,0,0,1716.588092
germany,DEU,1426.141196,753.0479161,1888.857386,6217.173887
greece,GRC,0,0,0,862.44148
italy,ITA,0,0,0,715.2779132
norway,NOR,0,311.0292033,404.0260845,367.9695775
poland,POL,0,0,0,0
romania,ROU,0,0,0,0
russia,RUS,0,0,882.4780267,1571.738361
spain(includingportugal),ESP,0,0,0,2837.834193
spain(includingportugal),PRT,0,0,0,2837.834193
sweden,SWE,102.9817409,55.35724412,33.27924582,106.1297703
unitedkingdom,GBR,0,0,28.35270768,787.0291182
yugoslavia(serbia1876-1918),SRB,0,0,0,2.077913241
yugoslavia(serbia1876-1918),HRV,0,0,0,2.077913241
yugoslavia(serbia1876-1918),SVN,0,0,0,2.077913241
yugoslavia(serbia1876-1918),BIH,0,0,0,2.077913241
yugoslavia(serbia1876-1918),MNE,0,0,0,2.077913241
yugoslavia(serbia1876-1918),MKD,0,0,0,2.077913241


europe,ALB,1020.697477,567.0541537,368.5851999,0
europe,AND,1020.697477,567.0541537,368.5851999,0
europe,ARM,1020.697477,567.0541537,368.5851999,0
europe,AUT,1020.697477,567.0541537,368.5851999,0
europe,AZE,1020.697477,567.0541537,368.5851999,0
europe,BEL,1020.697477,567.0541537,368.5851999,0
europe,BIH,1020.697477,567.0541537,368.5851999,0
europe,BGR,1020.697477,567.0541537,368.5851999,0
europe,CYP,1020.697477,567.0541537,368.5851999,0
europe,DNK,1020.697477,567.0541537,368.5851999,0
europe,EST,1020.697477,567.0541537,368.5851999,0
europe,FIN,1020.697477,567.0541537,368.5851999,0
europe,FRA,1020.697477,567.0541537,368.5851999,0
europe,GEO,1020.697477,567.0541537,368.5851999,0
europe,DEU,1020.697477,567.0541537,368.5851999,0
europe,GRC,1020.697477,567.0541537,368.5851999,0
europe,HUN,1020.697477,567.0541537,368.5851999,0
europe,ISL,1020.697477,567.0541537,368.5851999,0
europe,ITA,1020.697477,567.0541537,368.5851999,0
europe,KAZ,1020.697477,567.0541537,368.5851999,0
europe,XKX,1020.697477,567.0541537,368.5851999,0
europe,LVA,1020.697477,567.0541537,368.5851999,0
europe,LIE,1020.697477,567.0541537,368.5851999,0
europe,LTU,1020.697477,567.0541537,368.5851999,0
europe,LUX,1020.697477,567.0541537,368.5851999,0
europe,MLT,1020.697477,567.0541537,368.5851999,0
europe,MDA,1020.697477,567.0541537,368.5851999,0
europe,MCO,1020.697477,567.0541537,368.5851999,0
europe,MNE,1020.697477,567.0541537,368.5851999,0
europe,NLD,1020.697477,567.0541537,368.5851999,0
europe,MKD,1020.697477,567.0541537,368.5851999,0
europe,NOR,1020.697477,567.0541537,368.5851999,0
europe,POL,1020.697477,567.0541537,368.5851999,0
europe,PRT,1020.697477,567.0541537,368.5851999,0
europe,ROU,1020.697477,567.0541537,368.5851999,0
europe,RUS,1020.697477,567.0541537,368.5851999,0
europe,SMR,1020.697477,567.0541537,368.5851999,0
europe,SRB,1020.697477,567.0541537,368.5851999,0
europe,SVK,1020.697477,567.0541537,368.5851999,0
europe,SVN,1020.697477,567.0541537,368.5851999,0
europe,SWE,1020.697477,567.0541537,368.5851999,0
europe,CHE,1020.697477,567.0541537,368.5851999,0
europe,TUR,1020.697477,567.0541537,368.5851999,0
europe,UKR,1020.697477,567.0541537,368.5851999,0
europe,GBR,1020.697477,567.0541537,368.5851999,0
europe,VAT,1020.697477,567.0541537,368.5851999,0


asia,AFG,708.8176921,2126.453076,28.35270768,1118.673745
