Countries,ISO3,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,USA,808.736,1805.432,1824.736,3476.752,4903.216,7397.496,12082.272,2218.944,2780.792,2213.864,3520.44,4389.12,8441.944,10871.2,14161.008,24710.136,34317.432,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,4000,4000,5000,5000,3500,4500,5000,4500,4000,4000,4000,4500,4000,4000,3500,3500,,3500,4000,4000,,,1500,1500,1500,1500,1500,500,500,500,500,1500,1000,1000,1000,870,900,900,900,900,900,900
Canada,CAN,,,,,,,,,,,,,,,,,8.128,51.816,2172.208,2437.384,1747.52,1249.68,92.456,242.824,226.568,300.736,479.552,459.232,114.808,198.12,,,,,,,,,,,,,,,,,,4500,7500,10000,15000,15000,9200,11300,10000,,,21000,22000,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,23000,22000,22000,,,,,108,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,724.408,621.792,270.256,246.888,127,,,,,,,487,675,412,950,900,80,25,113,152,145,35,184,178,119,104,69,287,620,300,400,400,,1876,16760,,7343,4512,5635,7550,11273,15700,16560,6691,6783,5016,17822,14017,13942,13200,16000,,20073,30877,31060,34712
Russia,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,45000,50000,50000,50000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,50000,45000,40000,40000,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51373,5892,2548,,2700,,1263,1040,780,800,1873,855,927,1642,1398,1268,1152,1162,739,1362,2611,1971,632,247,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,40722,8050,16688,13197,21030,16444,9786,19193,22548,27910,32760,14959,15073,20647,19053,9186,12837,18064,25279,33498,30929,49833,28055,36671,37914,36103,29320,12131,13710,,,,,,42000,44000,47000,44000,44000,44000,48000,51000,70000,65000
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,10000,10000,10000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15500,15500,15500,16000,49897,40640,66909,43122,46198,31967,34276,34000,35000,36000,37499,37000,38000,40000,40000,55000,58000,60000,61000,61000,3900,4800,7000,7100,7500
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110,4508,4458,6139,7332,7508,9082,8575,10823,10369,10439,12943,14180,24246,28377,28000,35869,31320,35242,41667,43971,43595,50035,59637,56881,30538,52851,69597,71594,60646,62253,56375,78182,81378,97323,112607
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,133
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,60,230,400
