ISO3,Countries,Ore,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,ArgentinaArgentinaArgentinaArgentina,amblygonitenon descript lithium mineralsspudomenetotal lithium ore ,0.0,0.0,0.0,99.564,0.0,150.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.182,280.418,0.0,316.996,1410.204,377.946,804.6759999999999,900.178,0.0,1448.818,1243.5819999999999,540.516,493.778,254.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0,1350.0,824.0,1900.0,1800.0,160.0,50.0,386.0,5288.0,13290.0,24088.0,17428.0,33598.0,55030.0,60208.0,138.0,574.0,1240.0,600.0,800.0,800.0,0.0,3752.0,33520.0,0.0,14686.0,9024.0,11270.0,15100.0,22546.0,31400.0,33120.0,13382.0,13566.0,10032.0,35644.0,28034.0,27884.0,26400.0,32000.0,0.0,40146.0,61754.0,62120.0,69424.0
AUS,AustraliaAustraliaAustraliaAustralia,amblygonitepetalitespudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,16.258000000000003,0.0,0.0,0.0,0.0,0.0,10.16,0.0,0.0,0.0,0.0,30.48,8.123999999999999,0.0,0.0,138.178,0.0,32.516000000000005,254.0,276.356,877.822,528.32,629.92,1895.858,1355.342,1499.618,1442.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101152.0,86562.0,79960.0,80980.0,80000.0,160270.0,278574.0,113134.0,84674.0,108046.0,129966.0,112740.0,202424.0,248820.0,250000.0,347270.0,444202.0,490558.0,479056.0,394964.0,607458.0,842456.0,905842.0,726000.0,888000.0,879028.0,1044362.0,3413238.0,3931888.0,3233528.0
BDI,"Rwanda, Burundi",amblygonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,2690.37,2330.7,1681.48,326.14,0.0,294.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,Bolivia,non descript lithium minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,60.0,230.0,400.0
BRA,BrazilBrazilBrazilBrazilBrazil,amblygonitelepidolitepetalitespudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13679.422,199.13799999999998,12336.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10226.0,5796.0,4416.0,7270.0,4200.0,5636.0,5204.0,5548.0,4244.0,4480.0,2934.0,3386.0,5996.0,7000.0,2942.0,950.0,3922.0,6112.0,0.0,0.0,14342.0,13142.0,13866.0,18970.0,22244.0,21746.0,18168.0,24092.0,19510.0,18128.0,17848.0,17170.0,15982.0,28920.0,30000.0,31466.0,15640.0,14168.0,15964.0,16000.0,11562.0,17608.0,18000.0,18000.0,18000.0
CAN,CanadaCanadaCanada,non descript lithium mineralsspudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.258000000000003,103.636,4344.418,4874.764,3495.04,2499.36,184.916,485.644,453.13800000000003,601.476,959.1020000000001,918.462,229.618,396.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,15000.0,20000.0,30000.0,30000.0,18400.0,22600.0,20000.0,0.0,0.0,42000.0,44000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,46000.0,44000.0,44000.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,2200.0,280000.0,0.0
CHL,ChileChileChile,non descript lithium mineralsspudomenetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4220.0,9016.0,8916.0,12278.0,14664.0,15016.0,18164.0,17150.0,21646.0,20738.0,20878.0,25886.0,28360.0,48492.0,56754.0,56000.0,71738.0,62640.0,70484.0,83334.0,87942.0,87190.0,100070.0,119274.0,113762.0,61076.0,105702.0,139194.0,143188.0,121292.0,124506.0,112750.0,156364.0,162756.0,194646.0,225214.0
CHN,China,non descript lithium minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,9000.0,10000.0,10000.0,10000.0,14000.0,14000.0,14000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15500.0,15500.0,15500.0,16000.0,49897.0,40640.0,66909.0,43122.0,46198.0,31967.0,34276.0,34000.0,35000.0,36000.0,37499.0,37000.0,38000.0,40000.0,40000.0,55000.0,58000.0,60000.0,61000.0,61000.0,3900.0,4800.0,7000.0,7100.0,7500.0
COD,Belgian Congo,amblygonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.84,1353.31,1810.51,2103.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,SpainSpainSpain,amblygonitelepidolitetotal lithium ore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32,62.995999999999995,268.222,225.55599999999998,103.636,12.196,0.0,0.0,50.8,34.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13502.0,16678.0,20652.0,18684.0,14000.0,15648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
